DDR,Process,Pathway 1,Pathway 2,Complex,Gene ID
Repair pathway,SSR,NER,GGR (Global genome repair),XPC-HR23B- CETN2,CETN2
Repair pathway,SSR,NER,GGR (Global genome repair),XPC-HR23B- CETN2,RAD23B
Repair pathway,SSR,NER,GGR (Global genome repair),XPC-HR23B- CETN2,XPC
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2A
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2B
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2C
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2D
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2E
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2F
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2G
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2H
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2I
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2J
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2K
Repair pathway,SSR,NER,TCR (Transcription coupled repair),DNA-directed RNA polymerase II complex,POLR2L
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,CUL3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,CUL5
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,ERCC1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,ERCC4
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,ERCC5
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,LIG1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,TCEB1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,TCEB2
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,TCEB3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,UVSSA
Repair pathway,SSR,NER,TCR (Transcription coupled repair),Other TCR Factors,XPA
Repair pathway,SSR,NER,TCR (Transcription coupled repair),RPA (replication factor A),RPA1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),RPA (replication factor A),RPA2
Repair pathway,SSR,NER,TCR (Transcription coupled repair),RPA (replication factor A),RPA3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),RPA (replication factor A),RPA4
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,CDK7
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,ERCC2
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,ERCC3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,GTF2H1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,GTF2H2
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,GTF2H3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,GTF2H4
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,GTF2H5
Repair pathway,SSR,NER,TCR (Transcription coupled repair),TFIIH,MNAT1
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,ERCC6
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,ERCC8
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,LIG3
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,RAD23A
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,XAB2
Repair pathway,SSR,NER,TCR (Transcription coupled repair),NA,XRCC1
Repair pathway,SSR,NER,NA,NA,GADD45A
Repair pathway,SSR,NER,NA,NA,GADD45G
